feature,importance
T040503,1517584.52437402
T130110,1391004.91033407
T120504,1375360.29274986
T040501,1365813.93175339
T080101,1336506.40528052
T040508,1325688.4086124
T050401,1232489.39710363
T040108,1187296.16106631
T020303,1186563.99476482
T070201,1091395.46248095
T040106,1071882.27990639
T130103,1070427.73738734
T130136,1043184.78607113
T150201,1025795.99047601
T130116,1010385.576564
T040101,1007166.58661854
T160108,998119.399815188
T180303,957588.073261708
T030301,939422.86484338
T100101,910647.090285761
T020302,897538.007501576
T090501,889064.789992622
T130301,881810.77068399
T040110,877014.808055019
T130107,855918.675645747
T130101,852283.192055564
T030302,837554.151343261
T120404,835469.425752721
T030303,830462.393582425
T130222,795478.011556906
T180603,783868.961689239
T010401,783500.944722252
T050399,774697.970331653
T050201,747636.47853491
T130112,745743.357002726
T090201,723416.206452173
T080601,721049.284434792
T030404,720291.633755028
T020103,715345.920336568
T180304,711154.51899987
T060302,709515.50236884
T180504,707783.195868999
T029999,669381.400010671
T130199,668223.362475646
T180203,661666.286149
T130102,659396.41903663
T030104,650424.200596391
T180208,649752.450166589
T050205,644816.887502835
T030401,640772.121204888
T090502,625213.181028808
T160105,571830.959768061
T020502,569913.005254041
T181899,560481.830775516
T050103,558705.466011077
T040504,548152.863241276
T030504,546670.222702761
T030199,541870.145609762
T150399,539230.732920738
T070199,539005.585612947
T040109,519887.518855604
T180503,519540.593851526
T040111,517901.551578066
T150106,505615.892635722
T080202,493511.316136096
T130109,489338.582400628
T160106,476634.84569965
T130216,470224.625879143
T080502,469833.017755985
T130203,429372.840463115
T150401,426542.004468905
T130126,405407.194678151
T130302,398322.177522009
T040401,395984.067034945
T150203,369744.178001123
T130105,367242.473922726
T180404,364879.103552273
T069999,358635.280521675
T050303,348586.925875702
T120313,340157.024894311
T070105,337732.917876646
T180205,333202.901238925
T040599,312841.837843256
T040506,310137.137376778
T180903,303188.493200353
T030502,269973.042880402
T090301,257375.593819507
T180806,254823.412258002
T180403,250112.300043163
T150103,243375.116055356
T130125,241871.981141407
T181001,237024.843152913
T150199,230400.743183515
T050403,200670.293908407
T030204,197789.967797531
T010299,193724.613916994
T100103,192082.985717605
T181002,188845.428162598
T180699,188095.207376825
T030403,182477.839313405
T050304,182473.290153268
T130129,176774.771990761
T100201,175627.773212952
T150202,166153.444683412
T130219,163345.464270911
T130210,148049.897391256
T010399,142924.685668136
T180807,142045.294562232
T040404,136338.238685238
T130232,135522.606369573
T150499,131356.171173411
T020699,130949.426746702
T180204,124591.386450283
T150105,121525.12955198
T180801,119278.91599795
T040399,119237.467221089
T030203,110045.912930291
T080701,109621.736029282
T099999,109535.558004182
T139999,104060.555285608
T040199,102811.298565936
T120399,101729.135688365
T150602,94091.6639748483
T040201,91704.5452739257
T040303,90077.8131778382
T130135,88408.0963109805
T060401,87408.9419329634
T120311,85340.7234552165
T130127,83712.8466196089
T130106,79410.7151465211
T050301,71834.2512597622
T120502,71332.615739436
T040403,71142.375065734
T130225,68943.1218993967
T150104,68526.0377206512
T180602,67296.9228480671
T130226,60779.9148080126
T169999,58071.2046064084
T059999,57184.8732713993
T060201,53898.8821514836
T080402,53401.745441195
T060202,53038.1649413183
T130130,52123.4370171156
T150801,51636.0246497197
T040104,46365.4586570743
T150699,44794.0832631428
T149999,44276.7515982557
T180604,41805.8420890343
T090401,40839.0102499762
T180299,36637.8810582481
T150301,33842.9166240512
T060103,33596.1485975954
T180999,33502.8594863654
T040505,31283.8089410555
T130214,31192.6386467374
T039999,31155.0316326601
T130108,31032.2104762841
T120503,31030.2536945094
T030599,27837.5141797232
T160104,27808.1958867421
T030405,27139.069751848
T180899,26630.8185778008
T130117,26276.5607625317
T180902,26091.3480418898
T030299,26021.1474057572
T140103,25060.4470312229
T089999,22950.6291512722
T020799,22862.7631218414
T130123,22441.1119901559
T040105,21913.0937256905
T030402,21424.2003227612
T080702,21215.0344589922
T120304,21170.2510706528
T130122,20432.7585263317
