"","x"
"T060101",8903885.21201212
"T060102",2469338.58204328
"T060103",45276.8755907356
"T060199",43666.2389402757
"T060201",55333.1268017414
"T060202",55818.4234222933
"T060299",0
"T060301",15314886.2823226
"T060302",795906.886334145
"T060399",0
"T060401",83358.2757385508
"T060403",942.73866751222
"T060499",9531.26141472591
"T069999",312613.530365126
"T070101",15034750.9676894
"T070102",7199914.8578434
"T070103",15269637.8157054
"T070104",23620138.0998182
"T070105",247328.836555767
"T070199",420929.160600859
"T070201",1367837.67996648
"T080101",1043391.93359147
"T080102",0
"T080201",6427459.81204458
"T080202",391746.894665273
"T080203",0
"T080299",21504.6755564408
"T080301",58855.5262865098
"T080401",4069941.64435815
"T080402",11453.2140683485
"T080403",1049187.67757958
"T080499",12477.2235307542
"T080501",4072790.93971274
"T080502",809137.481123185
"T080601",3126637.36487919
"T080699",0
"T080701",160602.369878705
"T080702",17237.4207422193
"T089999",74360.0813047409
"T090101",0
"T090103",4582760.35755938
"T090104",40949.8964418083
"T090199",0
"T090201",562806.555447345
"T090202",11788.613623465
"T090301",1052567.95474974
"T090401",58439.6375092441
"T090402",0
"T090499",0
"T090501",646243.504393128
"T090502",913529.219837621
"T090599",0
"T099999",132430.695302797
"T100101",678417.260422257
"T100102",19128.9296366185
"T100103",153153.751249104
"T100199",50544.1193382899
"T100201",228494.393651034
"T100304",4131.1037539249
"T100305",0
"T100401",0
"T110101",70019857.3789228
"T110201",2293748.65128888
"T120101",30492765.827168
"T120201",8180870.04897281
"T120202",1695800.35972711
"T120299",1985.12214381689
"T120301",22876999.7844599
"T120302",3028063.75574842
"T120303",55821130.4112804
"T120304",20189.5497648942
"T120305",2571876.90116808
"T120306",3897982.30456776
"T120307",14688959.6805218
"T120308",20469686.9343669
"T120309",1450674.86914523
"T120310",0
"T120311",811344.899088428
"T120312",33877094.5790816
"T120313",321066.991335529
"T120399",173070.776646491
"T120401",4169255.43232971
"T120402",1345262.06857399
"T120403",4219830.10161556
"T120404",886597.15471175
"T120499",1983528.24819223
"T120501",122552.611838952
"T120502",94261.5984757509
"T120503",44204.4496961883
"T120504",1499733.46762842
"T130101",823652.517021411
"T130102",554587.785621164
"T130103",2433227.75663273
"T130104",5394305.80242172
"T130105",265654.785849209
"T130106",73771.081051301
"T130107",666922.103602721
"T130108",27240.1411748506
"T130109",931947.661532538
"T130110",1351952.14481065
"T130112",1143932.76722281
"T130113",94727.6830432079
"T130114",5200610.08589937
"T130115",0
"T130116",907231.125832188
"T130117",58255.4929760712
"T130118",3159966.08642091
"T130119",0
"T130120",2776132.80121281
"T130121",0
"T130122",816054.751760729
"T130123",18409.2075954416
"T130124",8225780.10861475
"T130125",1882383.94561051
"T130126",454446.238575851
"T130127",116531.655130249
"T130128",6444585.57534213
"T130129",833022.781621614
"T130130",110542.53197703
"T130131",10011350.4579964
"T130132",4890535.85505155
"T130133",5063518.99012605
"T130134",10955198.4387492
"T130135",0
"T130136",1113756.23191161
"T130199",745375.76986509
"T130202",1897937.77589244
"T130203",374899.777932036
"T130205",6849.86655192668
"T130206",0
"T130207",38476.8714834543
"T130210",195532.926867199
"T130213",1509601.60626089
"T130214",31289.2482028014
"T130216",556850.099549868
